1;Προεδρία της Δημοκρατίας;1433246700;0;1433246700
2;Βουλή των Ελλήνων;169950000;2000000;171950000
3;Προεδρία της Κυβέρνησης;37689000;4000000;41689000
4;Υπουργεία Συνολικα;129351563700000;1409400000000;130760963700000
5;Υπουργείο Εσωτερικών;3449276000;381000000;3830276000
6;Υπουργείο Εξωτερικών;390237000;30000000;420237000
7;Υπουργείο Εθνικής Άμυνας;6061000000;69000000;6130000000
8;Υπουργείο Υγείας;6608424000;569000000;7177424000
9;Υπουργείο Δικαιοσύνης;577803000;73000000;650803000
10;Υπουργείο Παιδείας, Θρησκευμάτων και Αθλητισμού;5594000000;1012000000;6606000000
11;Υπουργείο Πολιτισμού;257419000;318000000;575419000
12;Υπουργείο Εθνικής Οικονομίας και Οικονομικών;1243381464000;3137000000;1246518464000
13;Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων;222403000;1059000000;1281403000
14;Υπουργείο Περιβάλλοντος και Ενέργειας;319227000;2022000000;2341227000
15;Υπουργείο Εργασίας και Κοινωνικής Ασφάλισης;18215084000;463000000;18678084000
16;Υπουργείο Κοινωνικής Συνοχής και Οικογένειας;3786553000;203000000;3989553000
17;Υπουργείο Ανάπτυξης;123045000;695000000;818045000
18;Υπουργείο Υποδομών και Μεταφορών;881810000;1813000000;2694810000
19;Υπουργείο Ναυτιλίας και Νησιωτικής Πολίτικης;336864000;315000000;651864000
20;Υπουργείο Τουρισμού;39293000;150000000;189293000
21;Υπουργείο Ψηφιακής Διακυβέρνησης;151928000;922000000;1073928000
22;Υπουργείο Μετανάστευσης και Ασύλου;141871000;334000000;475871000
23;Υπουργείο Προστασίας του Πολίτη;2217820000;68000000;2285820000
24;Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας;760116000;461000000;1221116000
25;Αποκεντρωμένες Διοικήσεις;7959200000;0;7959200000
26;Αποκεντρωμένη Διοίκηση Αττικής;13091000;0;13091000
27;Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας;10579000;0;10579000
28;Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής;9943000;0;9943000
29;Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής;14918000;0;14918000
30;Αποκεντρωμένη Διοίκηση Αιγαίου;6188000;0;6188000
31;Αποκεντρωμένη Διοίκηση Κρήτης;6497000;0;6497000
32;Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης;18376000;0;18376000
33;Σύνολο εξόδων Κρατικού Προϋπολογισμού;129381720046700;1410000000000;130791720046700
